clean,
417387de-5f4b-4bee-b919-5d3f813b85a3,Nepal - Number of Industries Approved for Foreign Investment by Country of Origin (Up to F.Y. 2061/62 FNM)
6d1116bf-cd00-42b1-b6e4-e2f2449c7873,Nepal - Gross Domestic Product deflator by industrial division
fcc398fe-341b-496a-ae33-99d4476d3f4c,Nepal - Foreign grant and loan summary
c202b8c8-975b-4419-befe-e1d4ff481324,"Nepal - Red Book budget -Ministry wise expenditure,2014/15"
652148b7-7867-4b66-b2c2-e15f35857886,Nepal - Composition of gross domestic product by ISIC division at current prices
d5f2f26d-c998-425b-b232-5264f0bfbafc,Nepal - Number of Industries Approved for Foreign Investment by District (Up to F.Y. 2061/62 FNM)
83adcd62-6e27-4625-bcad-912271015092,Nepal - Labour Productivity (2014)
d948d30d-f486-4b45-8f01-6d69341abd3b,"Nepal - International Trade ,2060/61 - 2069/70"
a58b86b2-e717-46bc-a37e-e27bf47e227c,"Nepal - Number of Nepalese going aboard by purpose of visit and month, 2012-2013"
9dfdd8f6-ffc1-4d10-8e82-fd88be9fa53d,Nepal - Gross Output by Industrial Division at current prices
c26f0e59-a380-4bd8-8b0d-a864e3c32923,"Nepal - Inflation, consumer prices (annual %)"
c87cfb60-b7e6-4a0e-91af-c3e4e3aa4414,Nepal - Number of Industries Approved for Foreign Investment by Fiscal Year (Up to F.Y. 2061/62 FNM)
cf3741b5-3022-4ff9-8e41-a7db40f0df93,Nepal - Total Number of Registered Vehicle (2013)
ddb80900-a02a-4608-918f-d88a97a48f70,Nepal - New and supplemental projects of World Bank in Nepal
e8382e01-9384-4d7e-b5f7-c49e6510f759,"Nepal - Number of Vehicle Registration in Bagmati Zone, 2000-2014"
755002db-18ce-4b2c-b205-38838e2ed8c5,"Nepal - Number of hospitals in Nepal,2013"
7a3c5d05-64d3-4531-bf9c-32295d0ee037,Nepal - Development program and budget allocation in the district FY 207071
06bf5fb5-af34-4823-8df0-fbff7376aedd,Nepal - Causes of Road Accidents (2013)
90ed4465-20a5-447e-a578-ce1e0fb3e91c,Nepal - District wise Human Development Index (2011)
ec6c2f85-226b-42ce-82c9-714eb769fe15,Nepal - Road Traffic Accident Records (2013)
a0d7d581-29f1-413d-9350-dfd288c857b0,"Nepal - Number of hospital bed capacity in development region,2013"
9024f22e-e560-4db8-9b75-48a3d1d64c57,"Nepal - Total Strategic Road Network (SRN) Length,Influenced Population of District in Nepal, 2011"
e5064f2a-e8fb-4fe0-9214-dd536cc96b76,Nepal - Number of crimes (2068-71 B.S)
177044ec-21c3-4871-9959-2967a3afadfa,Nepal - Per Capita Disbursement per District as per AMP data for 2012-13
682f17eb-b16b-44e5-b162-71edc70fb15c,Nepal - AMP Data with location for mapping
09ca4765-efac-411b-935f-85c0c76886a1,Nepal - CRS aid data - 2011
beb71d8f-7ff6-438f-ac9d-5ad996e3bda4,Nepal - CRS aid data - 2012
88923036-cf43-40e8-b332-00d21a506f4f,Nepal - Per Capita Disbursement per District as per AMP data for 2011-12
6ed8dcfe-7877-4811-9353-6d8a8d4ecf5f,"Nepal - Financial Aid data for earthquake as of June 9,2015"
059fb997-ee09-41ba-aedc-0e8cd2a1d140,"Nepal - Total Municipal Budget and Solid Waste Management Budget in the 58 Municipalities, Fiscal Years 2010–2012"
4b43eb51-eb62-403f-8577-a2e05b311007,Nepal - District Coverage of Water Supply and Sanitation (2011)
3c16a8bf-f3f7-45ac-94d8-6d0c08d75ed6,Nepal - Composition of Commercial Waste (%) in 58 municipalities 2013.
c917108b-4830-4837-9f37-da20e2de70c0,Nepal - Detail of Eight Terai Districts with Low Sanitation coverage (2013)
bebf92eb-d9de-4cfd-8b18-e4f751f9a742,Nepal - Composition of household Waste (%) in 58 municipalities 2013
e9a983f7-79a3-40c8-be98-55c347d82879,"Nepal - Allocated budget and expenditure on the water and sanitation program,2070/71"
3d1a070c-8333-4455-a7a8-bb6df4520ad9,Nepal - Composition of Industrial Waste (%) in 58 municipalities 2013
57ab0878-ca17-4dab-b59a-cf91adb4f937,Nepal - The State of School Sanitation in Nepal
