Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,
Approved,,HOTOSM - Points of Interest,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|22,d6ffc076-6e94-41ad-b06e-933c94de6118,Russia Points of Interest (OpenStreetMap Export),,
Approved,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|23,c032f54b-ac4e-4a12-b484-3587c722beb4,Russia Waterways (OpenStreetMap Export),,
Approved,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT),384,none|24,5c736b45-8c02-450a-a588-8a48ba9071c4,Russia Roads (OpenStreetMap Export),,
Approved,,HOTOSM - Buildings|Excluded datasets from clustering,data series,Humanitarian OpenStreetMap Team (HOT),378,none|14,7a19c28c-a724-4828-8416-6d1d46d2dc98,Russia Buildings (OpenStreetMap Export),,
Approved,,UNHCR - Post Distribution Monitoring of Non-Food Items,data series,UNHCR - The UN Refugee Agency,6,none|93,81d73a8b-63d6-4a1d-987b-def0a97e8ca1,"Bangladesh - Post-Distribution Monitoring of Shelter and Non-food items, 2023",,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,1295,none|35,6ae9a040-f827-4c98-8e32-36b48b7d78aa|4cac4717-210d-4115-8a87-0e73cd32f4e0|120abb29-7618-4bbf-8202-b5ecf018734e|f839ebce-2346-482e-ae56-9cba1cef9f11|fc9a72c2-0c6f-4474-9c33-5f01b4f34e03|ccb584ed-e40e-403c-b0e1-84fe24cd82cc,Viet Nam - External Debt,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,1295,none|35,6ae9a040-f827-4c98-8e32-36b48b7d78aa|4cac4717-210d-4115-8a87-0e73cd32f4e0|120abb29-7618-4bbf-8202-b5ecf018734e|f839ebce-2346-482e-ae56-9cba1cef9f11|fc9a72c2-0c6f-4474-9c33-5f01b4f34e03|ccb584ed-e40e-403c-b0e1-84fe24cd82cc,Viet Nam - Science and Technology,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,1295,none|35,6ae9a040-f827-4c98-8e32-36b48b7d78aa|4cac4717-210d-4115-8a87-0e73cd32f4e0|120abb29-7618-4bbf-8202-b5ecf018734e|f839ebce-2346-482e-ae56-9cba1cef9f11|fc9a72c2-0c6f-4474-9c33-5f01b4f34e03|ccb584ed-e40e-403c-b0e1-84fe24cd82cc,Viet Nam - Public Sector,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,1295,none|35,6ae9a040-f827-4c98-8e32-36b48b7d78aa|4cac4717-210d-4115-8a87-0e73cd32f4e0|120abb29-7618-4bbf-8202-b5ecf018734e|f839ebce-2346-482e-ae56-9cba1cef9f11|fc9a72c2-0c6f-4474-9c33-5f01b4f34e03|ccb584ed-e40e-403c-b0e1-84fe24cd82cc,Viet Nam - Private Sector,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,1295,none|35,6ae9a040-f827-4c98-8e32-36b48b7d78aa|4cac4717-210d-4115-8a87-0e73cd32f4e0|120abb29-7618-4bbf-8202-b5ecf018734e|f839ebce-2346-482e-ae56-9cba1cef9f11|fc9a72c2-0c6f-4474-9c33-5f01b4f34e03|ccb584ed-e40e-403c-b0e1-84fe24cd82cc,Viet Nam - Financial Sector,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,1295,none|35,6ae9a040-f827-4c98-8e32-36b48b7d78aa|4cac4717-210d-4115-8a87-0e73cd32f4e0|120abb29-7618-4bbf-8202-b5ecf018734e|f839ebce-2346-482e-ae56-9cba1cef9f11|fc9a72c2-0c6f-4474-9c33-5f01b4f34e03|ccb584ed-e40e-403c-b0e1-84fe24cd82cc,Viet Nam - Economy and Growth,,
