IDMC - Internal Displacement Updates,
9400233d-698e-4412-91cc-f4a58657f4e7,Maldives - IDMC Event data (Internal Displacement Updates)
309a48b7-4b61-44ea-bb5c-9c5e0933c68a,Republic of Moldova - IDMC Event data (Internal Displacement Updates)
9740b5a3-9de9-40cd-aed6-e55045fcf65b,Lesotho - IDMC Event data (Internal Displacement Updates)
66594015-5fb8-446b-bc75-2ea0b9b63a89,Saint Lucia - IDMC Event data (Internal Displacement Updates)
a29c6173-7e42-4f26-8bdf-58eba90d0da3,Kiribati - IDMC Event data (Internal Displacement Updates)
1f678cf5-8c9b-40dc-a6c5-3ea22a7283a4,Jordan - IDMC Event data (Internal Displacement Updates)
c493ebad-2ccf-4667-a040-40ffe91fcaa5,Jamaica - IDMC Event data (Internal Displacement Updates)
c8d1bf4e-00fb-4043-ba2a-aaa0d4b9fa1e,British Indian Ocean Territory - IDMC Event data (Internal Displacement Updates)
c4cf1cd7-f323-4e7a-9fb3-2d3a417a41e1,Heard Island and McDonald Islands - IDMC Event data (Internal Displacement Updates)
5074af43-524b-49ba-ac08-fb15836c4745,French Guiana - IDMC Event data (Internal Displacement Updates)
f04390c7-94c4-4b1f-8a5d-d9902b19723e,Grenada - IDMC Event data (Internal Displacement Updates)
0eeb363e-1b35-4cb5-a77b-4a9b18925832,Equatorial Guinea - IDMC Event data (Internal Displacement Updates)
5366c50d-08c4-4336-8ec9-21e0e92c8cc0,Guinea-Bissau - IDMC Event data (Internal Displacement Updates)
5ce2fca0-f350-4ae5-999c-20d3afba54e8,Gambia - IDMC Event data (Internal Displacement Updates)
76ae968c-fba9-4d58-a82a-6c23e7c2e9c4,Guadeloupe - IDMC Event data (Internal Displacement Updates)
4dd3b5b8-6a59-4a5c-91c5-253a36406f91,Guernsey - IDMC Event data (Internal Displacement Updates)
adb52f7c-fe2a-46e3-9880-eb1c2d902e84,Gabon - IDMC Event data (Internal Displacement Updates)
fe07abe3-3b10-49b1-8820-487463207462,Micronesia (Federated States of) - IDMC Event data (Internal Displacement Updates)
2e6fd8f8-778b-4add-bf1c-61ae4abc0eb1,Falkland Islands (Malvinas) - IDMC Event data (Internal Displacement Updates)
2688c3a8-efeb-4253-b405-55f4efc8f3eb,Western Sahara - IDMC Event data (Internal Displacement Updates)
860a0f5e-16fa-471b-a32d-35ac8cd55be5,Eritrea - IDMC Event data (Internal Displacement Updates)
8a1e8b92-a85c-4096-8af6-fa4e7ef084fb,Dominica - IDMC Event data (Internal Displacement Updates)
78b2675c-209c-4dd0-8bf0-eb9972975572,Djibouti - IDMC Event data (Internal Displacement Updates)
47f00503-5976-4639-b116-971bc53d95c7,Christmas Island - IDMC Event data (Internal Displacement Updates)
e7bcc3f1-1096-4705-a039-96836327ea4e,Cabo Verde - IDMC Event data (Internal Displacement Updates)
aee42377-3d45-4324-a429-072f501b01de,Comoros - IDMC Event data (Internal Displacement Updates)
34818693-1907-4135-8853-8d39c48c17c8,Cook Islands - IDMC Event data (Internal Displacement Updates)
567cb3ee-dd2f-46a8-8e85-755701c641a7,Côte d'Ivoire - IDMC Event data (Internal Displacement Updates)
d8ee7f37-be4c-4c4f-8d87-5e852ad015e2,Cocos (Keeling) Islands - IDMC Event data (Internal Displacement Updates)
41657887-3cc6-492b-9674-cfa3733533b4,Botswana - IDMC Event data (Internal Displacement Updates)
9c22bb2a-139c-497e-a232-dca459ab0843,Bouvet Island - IDMC Event data (Internal Displacement Updates)
ff277064-e83a-4c4d-be8f-619405b2ace5,Bhutan - IDMC Event data (Internal Displacement Updates)
0a85891e-df17-40b2-bada-9c260e042591,Belize - IDMC Event data (Internal Displacement Updates)
b75516e1-b424-4ce3-b6eb-912c7ffdc414,Belarus - IDMC Event data (Internal Displacement Updates)
1669aff6-098a-41fc-9455-8bac0d0b0b0f,Saint Barthélemy - IDMC Event data (Internal Displacement Updates)
264e6f31-19fb-49a9-a5cf-7fb957566a2a,Bosnia and Herzegovina - IDMC Event data (Internal Displacement Updates)
6337290c-3fae-43a5-9a39-c40eaf7adc81,"Bonaire, Sint Eustatius and Saba - IDMC Event data (Internal Displacement Updates)"
ef094009-9963-4207-aac8-3c13066341e1,Benin - IDMC Event data (Internal Displacement Updates)
354dc9da-8feb-484f-8911-2c99a8a34f7f,French Southern Territories - IDMC Event data (Internal Displacement Updates)
1a24d062-505a-4dc4-8907-ed951fd005a1,Antarctica - IDMC Event data (Internal Displacement Updates)
2c223024-c3f4-47ec-9634-d74db576a70d,Armenia - IDMC Event data (Internal Displacement Updates)
984aba63-66f3-4848-bc9a-768dfccef258,Albania - IDMC Event data (Internal Displacement Updates)
e751543c-1228-426b-bb43-16eb5a441461,Åland Islands - IDMC Event data (Internal Displacement Updates)
ae923949-a99c-46c0-8083-13e93696ee5d,Anguilla - IDMC Event data (Internal Displacement Updates)
6553be21-7ad3-4bec-80e0-e00a84532bbb,Zambia - IDMC Event data (Internal Displacement Updates)
3160ad3d-42eb-4d17-9749-9d5320d1b1fd,Vanuatu - IDMC Event data (Internal Displacement Updates)
fbc9a832-9d52-49fd-847a-695ed0862483,Solomon Islands - IDMC Event data (Internal Displacement Updates)
80a6cfe8-7694-4896-afda-1202542a35d9,Madagascar - IDMC Event data (Internal Displacement Updates)
bd6fd343-2e9e-48b0-8ef8-a47dd1138b5b,Jersey - IDMC Event data (Internal Displacement Updates)
c61316d9-ea7a-4545-8a1f-6840a035c72d,Fiji - IDMC Event data (Internal Displacement Updates)
70241650-4099-4c3f-9b8b-2b627840e200,Yemen - IDMC Event data (Internal Displacement Updates)
9e9ab754-bd54-48e6-a4a4-232b1880a23c,Nigeria - IDMC Event data (Internal Displacement Updates)
f6ee13fa-bed1-4f4c-b3ca-d42d6f42642b,Libya - IDMC Event data (Internal Displacement Updates)
d82eb70b-cca2-418b-b873-56ff0d89f4bf,Lebanon - IDMC Event data (Internal Displacement Updates)
67fcc43a-f6f6-4f8c-84b5-13b276ac0c79,Democratic Republic of the Congo - IDMC Event data (Internal Displacement Updates)
51817b7b-2953-4ee7-b8ce-84a3c18e7453,Viet Nam - IDMC Event data (Internal Displacement Updates)
0b152cf5-3874-42d0-9621-8a9c745024b9,United Republic of Tanzania - IDMC Event data (Internal Displacement Updates)
669bfac3-e976-410c-8ce5-d32ca040e559,Malaysia - IDMC Event data (Internal Displacement Updates)
818e2637-9117-4055-b012-7bb6dd395c91,Sri Lanka - IDMC Event data (Internal Displacement Updates)
3af38cd8-6045-4b82-8b2d-ba2ce4be0331,Bangladesh - IDMC Event data (Internal Displacement Updates)
6ea61ac9-f057-4c01-b8fc-e1a49cab65e1,Burundi - IDMC Event data (Internal Displacement Updates)
9f6d1eff-3486-4f9f-bb31-a8274fee7b76,Tajikistan - IDMC Event data (Internal Displacement Updates)
d05ce178-5da7-467f-8517-9ac72d36c59d,Nicaragua - IDMC Event data (Internal Displacement Updates)
64fdf2a6-9bc8-4184-8e18-8a5e03cd60f4,Mauritania - IDMC Event data (Internal Displacement Updates)
9c465a6e-8469-48a4-b5ea-3307a8676d90,Montenegro - IDMC Event data (Internal Displacement Updates)
955ea34e-1055-4911-98c5-8a76f4092e15,Liberia - IDMC Event data (Internal Displacement Updates)
413542d7-e249-46f9-9674-1e291a7ab1c6,Lao People's Democratic Republic - IDMC Event data (Internal Displacement Updates)
be01ba2e-34e5-4915-9865-dd842f6f7817,Kazakhstan - IDMC Event data (Internal Displacement Updates)
f7839ac9-4adf-45f9-b189-d4bfac5bde9b,Guinea - IDMC Event data (Internal Displacement Updates)
86e66213-596f-40d1-ae2c-92da72c79440,Ghana - IDMC Event data (Internal Displacement Updates)
f5a93825-d6b2-46c7-b61b-3eab01d3b175,Egypt - IDMC Event data (Internal Displacement Updates)
e20f42c9-078e-4ccd-a3f3-b358949ca905,Congo - IDMC Event data (Internal Displacement Updates)
1f25e33b-4d46-49b0-b398-8c6ff0752d2d,El Salvador - IDMC Event data (Internal Displacement Updates)
5c42baaa-f3e9-4e71-a222-c17307fc898b,Rwanda - IDMC Event data (Internal Displacement Updates)
20affb17-2d4b-47d0-8959-341c529beed4,Dominican Republic - IDMC Event data (Internal Displacement Updates)
909da34d-806c-4053-be6f-a72a77551fc3,Cuba - IDMC Event data (Internal Displacement Updates)
201cad63-a43b-4e60-97a4-9557c894211a,Angola - IDMC Event data (Internal Displacement Updates)
27f216d0-62c8-4b75-89fe-b4daeb8b5089,Sudan - IDMC Event data (Internal Displacement Updates)
8ed27e21-d20e-4383-87cf-25e020af1376,Pakistan - IDMC Event data (Internal Displacement Updates)
4fa7f376-51e2-4746-9ca6-9ca297aa3993,Niger - IDMC Event data (Internal Displacement Updates)
fd722a41-32ca-49f5-ad91-cccadf942612,Malawi - IDMC Event data (Internal Displacement Updates)
9a392737-3371-44fa-9a99-8ebb278bcde8,Kenya - IDMC Event data (Internal Displacement Updates)
cea4c365-98d5-4a7f-959a-de77a7be62d8,Cameroon - IDMC Event data (Internal Displacement Updates)
7128e3e5-7f26-488b-8c96-c0d96b88d7bc,Central African Republic - IDMC Event data (Internal Displacement Updates)
6ad0025e-ce13-4e27-b1a4-1055c7dfdef8,Bolivia (Plurinational State of) - IDMC Event data (Internal Displacement Updates)
5110aba6-f927-4dd2-80ec-5e7f56684895,Burkina Faso - IDMC Event data (Internal Displacement Updates)
6553be21-7ad3-4bec-80e0-e00a84532bbb,Zambia - IDMC Event data (Internal Displacement Updates)
3160ad3d-42eb-4d17-9749-9d5320d1b1fd,Vanuatu - IDMC Event data (Internal Displacement Updates)
fbc9a832-9d52-49fd-847a-695ed0862483,Solomon Islands - IDMC Event data (Internal Displacement Updates)
80a6cfe8-7694-4896-afda-1202542a35d9,Madagascar - IDMC Event data (Internal Displacement Updates)
bd6fd343-2e9e-48b0-8ef8-a47dd1138b5b,Jersey - IDMC Event data (Internal Displacement Updates)
c61316d9-ea7a-4545-8a1f-6840a035c72d,Fiji - IDMC Event data (Internal Displacement Updates)
70241650-4099-4c3f-9b8b-2b627840e200,Yemen - IDMC Event data (Internal Displacement Updates)
9e9ab754-bd54-48e6-a4a4-232b1880a23c,Nigeria - IDMC Event data (Internal Displacement Updates)
f6ee13fa-bed1-4f4c-b3ca-d42d6f42642b,Libya - IDMC Event data (Internal Displacement Updates)
d82eb70b-cca2-418b-b873-56ff0d89f4bf,Lebanon - IDMC Event data (Internal Displacement Updates)
67fcc43a-f6f6-4f8c-84b5-13b276ac0c79,Democratic Republic of the Congo - IDMC Event data (Internal Displacement Updates)
51817b7b-2953-4ee7-b8ce-84a3c18e7453,Viet Nam - IDMC Event data (Internal Displacement Updates)
0b152cf5-3874-42d0-9621-8a9c745024b9,United Republic of Tanzania - IDMC Event data (Internal Displacement Updates)
669bfac3-e976-410c-8ce5-d32ca040e559,Malaysia - IDMC Event data (Internal Displacement Updates)
818e2637-9117-4055-b012-7bb6dd395c91,Sri Lanka - IDMC Event data (Internal Displacement Updates)
3af38cd8-6045-4b82-8b2d-ba2ce4be0331,Bangladesh - IDMC Event data (Internal Displacement Updates)
6ea61ac9-f057-4c01-b8fc-e1a49cab65e1,Burundi - IDMC Event data (Internal Displacement Updates)
9f6d1eff-3486-4f9f-bb31-a8274fee7b76,Tajikistan - IDMC Event data (Internal Displacement Updates)
d05ce178-5da7-467f-8517-9ac72d36c59d,Nicaragua - IDMC Event data (Internal Displacement Updates)
64fdf2a6-9bc8-4184-8e18-8a5e03cd60f4,Mauritania - IDMC Event data (Internal Displacement Updates)
9c465a6e-8469-48a4-b5ea-3307a8676d90,Montenegro - IDMC Event data (Internal Displacement Updates)
955ea34e-1055-4911-98c5-8a76f4092e15,Liberia - IDMC Event data (Internal Displacement Updates)
413542d7-e249-46f9-9674-1e291a7ab1c6,Lao People's Democratic Republic - IDMC Event data (Internal Displacement Updates)
be01ba2e-34e5-4915-9865-dd842f6f7817,Kazakhstan - IDMC Event data (Internal Displacement Updates)
f7839ac9-4adf-45f9-b189-d4bfac5bde9b,Guinea - IDMC Event data (Internal Displacement Updates)
86e66213-596f-40d1-ae2c-92da72c79440,Ghana - IDMC Event data (Internal Displacement Updates)
f5a93825-d6b2-46c7-b61b-3eab01d3b175,Egypt - IDMC Event data (Internal Displacement Updates)
e20f42c9-078e-4ccd-a3f3-b358949ca905,Congo - IDMC Event data (Internal Displacement Updates)
Internal Displacement Monitoring Centre (IDMC),
1f25e33b-4d46-49b0-b398-8c6ff0752d2d,El Salvador - IDMC Event data (Internal Displacement Updates)
5c42baaa-f3e9-4e71-a222-c17307fc898b,Rwanda - IDMC Event data (Internal Displacement Updates)
20affb17-2d4b-47d0-8959-341c529beed4,Dominican Republic - IDMC Event data (Internal Displacement Updates)
909da34d-806c-4053-be6f-a72a77551fc3,Cuba - IDMC Event data (Internal Displacement Updates)
201cad63-a43b-4e60-97a4-9557c894211a,Angola - IDMC Event data (Internal Displacement Updates)
27f216d0-62c8-4b75-89fe-b4daeb8b5089,Sudan - IDMC Event data (Internal Displacement Updates)
8ed27e21-d20e-4383-87cf-25e020af1376,Pakistan - IDMC Event data (Internal Displacement Updates)
4fa7f376-51e2-4746-9ca6-9ca297aa3993,Niger - IDMC Event data (Internal Displacement Updates)
fd722a41-32ca-49f5-ad91-cccadf942612,Malawi - IDMC Event data (Internal Displacement Updates)
9a392737-3371-44fa-9a99-8ebb278bcde8,Kenya - IDMC Event data (Internal Displacement Updates)
cea4c365-98d5-4a7f-959a-de77a7be62d8,Cameroon - IDMC Event data (Internal Displacement Updates)
7128e3e5-7f26-488b-8c96-c0d96b88d7bc,Central African Republic - IDMC Event data (Internal Displacement Updates)
6ad0025e-ce13-4e27-b1a4-1055c7dfdef8,Bolivia (Plurinational State of) - IDMC Event data (Internal Displacement Updates)
5110aba6-f927-4dd2-80ec-5e7f56684895,Burkina Faso - IDMC Event data (Internal Displacement Updates)
