Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,FAO - Food Prices,data series,Food and Agriculture Organization (FAO),220,none|2,128b1dc3-92a2-495b-bd81-a5fc7770fa6d|cc915d2c-1872-4503-afff-5fe89e20f178|2dfb61c2-c012-46bb-a0a7-f7a33b17830c|88846e1e-885f-4fc1-8e4d-8741c4c72bfc|431fe94b-52cc-4aa6-aace-e149ce58d726|1474a712-c47f-4dfe-907c-88cfec623d60|e1f0ecd6-63ae-4661-93c9-81a4e8a0f77a|ee217c8f-37f1-4d93-a38c-dc923c9f0c79,Holy See - Prices,Saint Pierre and Miquelon - Prices,Saint Martin (French part) - Prices,Jersey - Prices,Isle of Man - Prices,Gibraltar - Prices,Faroe Islands - Prices,French Southern and Antarctic Territories - Prices
,,WFP - Food Prices,data series,WFP - World Food Programme,102,none|3,
,,World Bank - Social Protection and Labor,data series,World Bank Group,215,none|41,b605f06d-4e56-43be-970f-e34f5afbab22,Czechia - Social Protection and Labor
,,World Bank - Infrastructure,data series,World Bank Group,217,none|42,0519ad76-ea17-4d20-996d-7cbe77a6e782,Czechia - Infrastructure
,,World Bank - Health,data series,World Bank Group,217,none|43,8ff833ca-f631-47be-8a35-1d890a261dba,Czechia - Health
,,World Bank - Environment,data series,World Bank Group,217,none|44,b7b0417b-ba40-44d8-b38c-b93f9318aec9,Czechia - Environment
,,World Bank - Energy and Mining,data series,World Bank Group,217,none|45,ba37d20b-c268-454f-bdf6-1b7d3a672dd6,Czechia - Energy and Mining
,,World Bank - Education,data series,World Bank Group,214,none|46,5bd60120-d0a2-4de4-97a9-fb4e1deaf119,Czechia - Education
,,World Bank - Aid Effectiveness,data series,World Bank Group,215,none|47,3113e43d-2417-49d5-860d-7631fb570dd5,Czechia - Aid Effectiveness
,,World Bank - Agriculture and Rural Development,data series,World Bank Group,217,none|48,2d71c5a5-a261-422d-9cb1-32e969152aef,Czechia - Agriculture and Rural Development
,,"World Bank - Economic, Social, Environmental, Health, Education, Development and Energy",data series,World Bank Group,211,none|33,
,,"World Bank - Economic, Social, Environmental, Health, Education, Development and Energy",data series,World Bank Group,211,none|33,
,,COD - Subnational Population Statistics,data series,UNFPA,75,none|13,e9c35494-3097-418c-93e6-1496e390a8d9|a5d0b682-1644-4a2d-a9d7-90f1a0fdc959,Maldives - Subnational Population Statistics,Thailand - Subnational Population Statistics
,,Armed Conflict Location & Event Data Project (ACLED) - Conflict Events,data series,Armed Conflict Location & Event Data Project (ACLED),243,none|10,
,,Global Healthsites Mapping Project - Healthsites,data series,Global Healthsites Mapping Project,199,none|66,80296bdf-ebc3-469f-a764-4201e14201a4,Czechia-healthsites
,,Global Healthsites Mapping Project - Healthsites,data series,Global Healthsites Mapping Project,199,none|66,
,,COD - Subnational Population Statistics,data series,OCHA Latin America and the Caribbean (ROLAC),75,none|13,c75ed1fb-52a6-4e97-80e0-20d66d2a79e4|0929c192-5092-4dcb-bc88-b350d49c5a12|5c23364e-8e2c-4927-a357-16a83228fb43,Saint Lucia - Subnational Population Statistics,Turks and Caicos Islands - Subnational Population Statistics,Belize - Subnational Population Statistics
,,OCHA Afghanistan - Conflict Induced Displacements 2017-2022,data series,OCHA Afghanistan,5,none|57,
,,COD - Subnational Administrative Boundaries,data series,OCHA Field Information Services Section (FISS),111,none|12,e71a08a7-8529-4964-9ad7-7319e6ec05f8,Puerto Rico - Subnational Administrative Boundaries
,,OCHA Afghanistan - Who does What Where,data series,OCHA Afghanistan,16,none|62,764a70c0-6b88-4b4c-9bd0-a4bd51131d31,Afghanistan - Who does What Where (July to September 2022)
,,World Health Organization - WHO Health Indicators,data series,World Health Organization,200,none|11,
,,Data for Good at Meta - High Resolution Population Density Maps + Demographic Estimates,data series,Data for Good at Meta (previously Facebook),190,none|27,
,,Data for Good at Meta - High Resolution Population Density Maps + Demographic Estimates,data series,Data for Good at Meta (previously Facebook),190,none|27,
,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT),384,none|15,98e6b207-9e61-4b61-b516-6b4c27e1ac1d,HOTOSM Mexico Railways (OpenStreetMap Export)
,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT),385,none|16,
,,HOTOSM - Populated Places,data series,Humanitarian OpenStreetMap Team (HOT),385,none|17,
,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT),384,none|18,
,,HOTOSM - Education Facilities,data series,Humanitarian OpenStreetMap Team (HOT),385,none|19,
,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT),385,none|20,
,,HOTOSM - Airports,data series,Humanitarian OpenStreetMap Team (HOT),385,none|21,
,,HOTOSM - Points of Interest,data series,Humanitarian OpenStreetMap Team (HOT),385,none|22,
,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT),385,none|23,
,,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT),378,none|14,f0cb8a3e-3d21-40aa-8dc2-c38bec1125ab,HOTOSM India South Buildings (OpenStreetMap Export)
,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT),384,none|24,
,,REACH Initiative - Needs Assessment,data series,REACH Initiative,9,none|107,f1b3924d-cce7-41fd-9cb3-b838b1224832,"2022 Multi-Sectoral Needs Assessment, occupied Palestinian territory (oPt)"
,,COD - Subnational Administrative Boundaries,data series,OCHA Field Information Services Section (FISS),111,none|12,e1761a91-7848-4449-9f1f-d2e97832b509,Curaçao - Subnational Administrative Boundaries
,,OCHA - Humanitarian Response Plan Projects,data series,OCHA Financial Tracking System (FTS),48,none|8,8657a9bf-6c1b-45ef-9e65-f3327f0c5799|a238c0f4-8342-4d4f-9066-43dd20aa0bee|03efaf18-57dc-4001-81aa-b50ed0cd5586|490f4112-993e-434b-8897-ca4c7c5f6b54|973a0230-f618-4336-8455-104afca6adca,Humanitarian Response Plan projects for Ecuador,Humanitarian Response Plan projects for Congo,Humanitarian Response Plan projects for Afghanistan,Humanitarian Response Plan projects for Trinidad and Tobago,Humanitarian Response Plan projects for Tanzania
,,UCDP - Data on Conflict Events,data series,HDX,124,none|25,
,,COD - Subnational Administrative Boundaries,data series,OCHA West and Central Africa (ROWCA),111,none|12,
,,COD - Subnational Administrative Boundaries,data series,OCHA Regional Office for Asia and the Pacific (ROAP),111,none|12,ae36d1fd-1698-4f53-a4c0-2146a6b5aa29,Fiji - Subnational Administrative Boundaries
,,FEWS NET - Medium Term Projection IPC Classification Shapefile Data for 2011-2020,data series,FEWS NET,247,none|49,
,,FEWS NET - Current Situation IPC Classification Shapefile Data for 2011-2020,data series,FEWS NET,233,none|51,
,,FEWS NET - Near Term Projection IPC Classification Shapefile Data for 2011 - 2020,data series,FEWS NET,247,none|50,
,,COD - Subnational Population Statistics,data series,UNFPA,75,none|13,e6079c64-856c-4952-b39f-d2ffec547803,Tonga - Subnational Population Statistics
,,International Organization for Migration (IOM) - Displacement Data,data series,International Organization for Migration (IOM),13,none|58,
,,COD - Subnational Administrative Boundaries,data series,OCHA Field Information Services Section (FISS),111,none|12,e47eda48-8f83-4858-b739-dbffb8a50c47,Tunisia - Subnational Administrative Boundaries
,,"UNHCR - Livelihoods Programme Monitoring Beneficiary Survey, 2017 - 202",data series,UNHCR - The UN Refugee Agency,116,none|5,
,,"UNHCR - Energy Monitoring Framework Survey, 2017 - 2021",data series,UNHCR - The UN Refugee Agency,36,none|6,
,,UNOSAT - Flood and Landslide Extents,excluded,United Nations Satellite Centre (UNOSAT),367,none|26,
,,Data for Good at Meta - High Resolution Population Density Maps + Demographic Estimates,data series,Data for Good at Meta (previously Facebook),190,none|27,
,,UNOSAT - Damage Assessment,excluded,United Nations Satellite Centre (UNOSAT),41,none|28,
,,International Aid Transparency Initiative - Current IATI aid activities,data series,International Aid Transparency Initiative,242,none|53,
,,Myanmar Information Management Unit (MIMU) - Village Points,data series,Myanmar Information Management Unit (MIMU),16,none|54,
,,Myanmar Information Management Unit (MIMU) - Boundaries,data series,Myanmar Information Management Unit (MIMU),20,none|55,
,,UNHCR - The UN Refugee Agency - UNHCR Global Trends: Forced Displacement in,data series,UNHCR - The UN Refugee Agency,6,none|59,
,,CLEAR Global - Languages,data series,CLEAR Global (previously Translators without Borders),27,none|61,
,,OCHA Nigeria - 3W,data series,OCHA Nigeria,8,none|63,
,,U.S. Census Bureau - Subnational Population and Housing Data Tables,data series,U.S. Census Bureau,14,none|64,
,,iMMAP - ,excluded,iMMAP,11,none|67,
,,UNHCR - The UN Refugee Agency - WASH KAP Survey,data series,UNHCR - The UN Refugee Agency,19,none|68,
,,UNHCR - The UN Refugee Agency - WASH KAP Survey,data series,UNHCR - The UN Refugee Agency,19,none|68,
,,UNHCR - The UN Refugee Agency - Sudan - Durable Solutions Analysis Survey,data series,UNHCR - The UN Refugee Agency,5,none|70,
,,UNOSAT - Flood and Landslide Extents,excluded,United Nations Satellite Centre (UNOSAT),367,none|26,
,,Kontur - Population Density for 400m H3 Hexagons,data series,Kontur,248,none|71,
,,UNOSAT - Damage Assessment Overview Map,clean,United Nations Satellite Centre (UNOSAT),28,none|72,
,,United Nations Satellite Centre (UNOSAT) - Wildfires,data series,United Nations Satellite Centre (UNOSAT),12,none|73,
,,Internal Displacement Monitoring Centre (IDMC) - Internally displaced persons ,data series,Internal Displacement Monitoring Centre (IDMC),252,none|75,
,,COD - Subnational Administrative Boundaries,data series,OCHA Regional Office for Southern and Eastern Africa (ROSEA),111,none|12,
,,COD - Populated Places - Settlements,data series,OCHA West and Central Africa (ROWCA),25,none|77,
,,UNHCR - The UN Refugee Agency - High Frequency Survey,data series,UNHCR - The UN Refugee Agency,43,none|78,
,,COD - Subnational Administrative Boundaries,data series,OCHA Middle East and North Africa (ROMENA),111,none|12,
,,Global.health - Reported COVID-19 Cases,data series,Global.health,5,none|82,
,,Kontur - Administrative Division with Aggregated Population,data series,Kontur,243,none|83,
,,UNHCR - SENS Survey,data series,UNHCR - The UN Refugee Agency,17,none|84,
,,GRID3 -  Settlement Extents,data series,GRID3 (Geo-Referenced Infrastructure and Demographic Data for Development),48,none|85,
,,UNOSAT - Satellite detected water,clean,United Nations Satellite Centre (UNOSAT),136,none|87,
,,COD - Subnational Administrative Boundaries,data series,OCHA West and Central Africa (ROWCA),111,none|12,
,,UNOSAT - Landslide Assessment,clean,United Nations Satellite Centre (UNOSAT),7,none|89,
,,UNOSAT - Volcanic Eruption Impact,data series,United Nations Satellite Centre (UNOSAT),17,none|90,
,,GRID3 -  Gridded Population Estimated,data series,GRID3 (Geo-Referenced Infrastructure and Demographic Data for Development),6,none|91,
,,UNHCR - The UN Refugee Agency - Uganda - Post Distribution Monitoring of Non-Food Items,data series,UNHCR - The UN Refugee Agency,6,none|93,
,,UNHCR - The UN Refugee Agency - Lebanon - Vulnerability Assessment of Syrian Refugees,data series,UNHCR - The UN Refugee Agency,11,none|95,
,,Data for Good at Meta - High Resolution Population Density Maps + Demographic Estimates,data series,Data for Good at Meta (previously Facebook),190,none|27,
,,OSM - DRC Health Zones,data series,OpenStreetMap RDC,5,none|96,
,,geoBoundaries - Subnational Administrative Boundaries,data series,geoBoundaries,125,none|97,
,,iMMAP - ,excluded,iMMAP,11,none|67,
,,WFP - World Food Programme - Road Network,data series,WFP - World Food Programme,66,none|99,
,,"WFP - World Food Programme - Prevalence of Malnutrition, Stunting",data series,WFP - World Food Programme,10,none|100,
,,Oxford Poverty & Human Development Initiative - Global Multidimensional Poverty Index ,data series,Oxford Poverty & Human Development Initiative,99,none|101,
,,WFP - ,excluded,WFP - World Food Programme,40,none|102,
,,WFP - ,excluded,WFP - World Food Programme,40,none|102,
,,WFP - Flood Risk,data series,WFP - World Food Programme,17,none|104,
,,WHO - Climate Change Attributable Deaths,data series,World Health Organization,7,none|105,
,,iMMAP,excluded,iMMAP,7,none|106,
,,INFORM Models,data series,INFORM,7,none|108,
,,UNHCR - The UN Refugee Agency - Lebanon - Vulnerability Assessment of Syrian Refugees,data series,UNHCR - The UN Refugee Agency,11,none|95,
,,Hub Latin America - Violence in Latin America,data series,Hub Latin America,13,none|109,
,,Hub Latin America - Crime in Chile & Ecuador,data series,Hub Latin America,30,none|110,
,,Hub Latin America - Tourism and Migrations,data series,Hub Latin America,18,none|111,
,,UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,data series,UNHCR - The UN Refugee Agency,22,none|112,
,,COD - Subnational Administrative Boundaries,data series,OCHA Regional Office for Asia and the Pacific (ROAP),111,none|12,
,,COD - Subnational Administrative Boundaries,data series,OCHA Latin America and the Caribbean (ROLAC),111,none|12,
,,COD - Subnational Administrative Boundaries,data series,OCHA Regional Office for Southern and Eastern Africa (ROSEA),111,none|12,
,,Hub Latin America - Internet Connections,data series,Hub Latin America,6,none|114,
,,HERA - Africa - Covid-19,data series,HERA - Humanitarian Emergency Response Africa,5,none|116,
,,OCHA Latin America and the Caribbean (ROLAC) - Operational Presence (3W),data series,OCHA Latin America and the Caribbean (ROLAC),6,none|117,
,,Hub Latin America - Crime in Quito by Police,data series,Hub Latin America,7,none|118,
,,Hub Latin America - Environment and Waste in Ecuador,data series,Hub Latin America,5,none|120,
,,"OCHA Afghanistan - Who, What, Where (3W)",data series,OCHA Afghanistan,7,none|122,
,,UNESCO - Education Indicators,data series,UNESCO,238,none|123,
,,UNHCR - The UN Refugee Agency - Kenya - Socio-economic impact of COVID-19 on refugees,data series,UNHCR - The UN Refugee Agency,9,none|124,
,,Food and Agriculture Organization (FAO) - Food Security Indicators,data series,Food and Agriculture Organization (FAO),207,none|125,
,,UNHCR - The UN Refugee Agency - Socioeconomic assessment of Refugees,data series,UNHCR - The UN Refugee Agency,8,none|126,
,,Johns Hopkins Applied Physics Lab - Projected COVID-19 subnational cases,data series,Johns Hopkins Applied Physics Lab,5,none|127,
,,Fields Data - Operational Presence,data series,Fields Data,30,none|128,
,,COD - Subnational Administration Boundaries,data series,Myanmar Information Management Unit (MIMU),4,none|129,
,,UNHCR - The UN Refugee Agency - Uganda Wash Surveys,data series,UNHCR - The UN Refugee Agency,6,none|130,
,,UNHCR - The UN Refugee Agency - Jordan Home Visits Survey,data series,UNHCR - The UN Refugee Agency,5,none|131,
,,UNHCR - The UN Refugee Agency - Lebanon - Monitoring of the Effects of Economic Deterioration on Refugee Households,data series,UNHCR - The UN Refugee Agency,5,none|132,
,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT),385,none|23,
,,Data for Good at Meta - High Resolution Population Density Maps + Demographic Estimates,data series,Data for Good at Meta (previously Facebook),190,none|27,
,,UNDP Human Development Reports Office (HDRO) - Human Development Indicators,data series,UNDP Human Development Reports Office (HDRO),195,none|133,
,,,excluded,OCHA Venezuela,55,none|134,
,,,excluded,OCHA Venezuela,55,none|134,
,,Global Earthquake Model Foundation - Level 1 Exposure Data,data series,Global Earthquake Model Foundation,47,none|136,
,,Urban Analysis Network Syria - Infrastructure assets,data series,Urban Analysis Network Syria,5,none|137,
,,UNHCR - The UN Refugee Agency - Protection Monitoring,data series,UNHCR - The UN Refugee Agency,10,none|139,
,,Global Healthsites Mapping Project - Healthsites,data series,Global Healthsites Mapping Project,199,none|66,
,,WorldPop - Population Density,data series,WorldPop,240,none|142,
,,World Pop - Population Counts,data series,WorldPop,248,none|143,
,,WorldPop - Age and sex structures,data series,WorldPop,241,none|144,
,,UNICEF Eastern and Southern Africa Regional Office (ESARO) - Humanitarian Update,data series,UNICEF Eastern and Southern Africa Regional Office (ESARO),5,none|145,
,,COD - Elevation,data series,OCHA West and Central Africa (ROWCA),10,none|146,
,,OCHA Financial Tracking System (FTS) - Requirements and Funding Data,data series,OCHA Financial Tracking System (FTS),222,none|4,
,,WFP - World Food Programme. - Food Security Indicators,data series,WFP - World Food Programme,17,none|147,
,,WorldPop - Pregnancies,data series,WorldPop,161,none|148,
,,WorldPop - Births,data series,WorldPop,161,none|149,
,,WFP - World Food Programme- Drought Risk,data series,WFP - World Food Programme,15,none|153,
,,WFP - World Food Programme - ICA Categories & Areas,data series,WFP - World Food Programme,18,none|155,
,,WFP - World Food Programme - Food Insecurity,data series,WFP - World Food Programme,23,none|150,
,,WFP - World Food Programme- Land Degradation,data series,WFP - World Food Programme,13,none|152,
,,WFP - World Food Programme - Natural Shock,data series,WFP - World Food Programme,15,none|151,
,,WFP - World Food Programme - Administration Boundaries,data series,WFP - World Food Programme,13,none|157,
,,WFP - World Food Programme- Landslide Risk,data series,WFP - World Food Programme,11,none|154,
,,UNICEF Data and Analytics (HQ) - Global sanitation standards,data series,UNICEF Data and Analytics (HQ),14,none|158,
,,UNICEF Data and Analytics (HQ) - Global sanitation standards,data series,UNICEF Data and Analytics (HQ),14,none|158,
,,UNICEF Data and Analytics (HQ) - Nutrition,data series,UNICEF Data and Analytics (HQ),20,none|159,
,,UNICEF Data and Analytics (HQ) - Children and Pregnancy,data series,UNICEF Data and Analytics (HQ),6,none|160,
,,UNICEF Data and Analytics (HQ) - Birth and Children mortality,data series,UNICEF Data and Analytics (HQ),13,none|161,
,,UNICEF Data and Analytics (HQ) - Child Health and Vaccines,data series,UNICEF Data and Analytics (HQ),7,none|163,
,,UNICEF Data and Analytics (HQ) - Sexual Behaviour and HIV,data series,UNICEF Data and Analytics (HQ),16,none|164,
,,UNICEF Data and Analytics (HQ) - Sexual Behaviour and HIV,data series,UNICEF Data and Analytics (HQ),16,none|164,
,,UNICEF Data and Analytics (HQ) - Societal support for families and childcare,data series,UNICEF Data and Analytics (HQ),10,none|165,
,,UNICEF Data and Analytics (HQ) - Population statistics,data series,UNICEF Data and Analytics (HQ),8,none|166,
,,UNICEF Data and Analytics (HQ) - Birth and Children mortality,data series,UNICEF Data and Analytics (HQ),13,none|161,
,,The DHS Program - Subnational Health and Demographic Data,data series,The DHS Program,171,none|168,
,,WFP - World Food Programme - Road Network,data series,WFP - World Food Programme,66,none|99,
,,COD - Subnational Administrative Boundaries,data series,UNFPA,111,none|12,
,,WFP - World Food Programme - Food availability,data series,WFP - World Food Programme,9,none|171,
,,WFP - World Food Programme - Natural Shock,data series,WFP - World Food Programme,15,none|151,
,,,excluded,Myanmar Information Management Unit (MIMU),55,none|134,
,,OCHA Latin America and the Caribbean (ROLAC) - HOTOSM Schools,data series,OCHA Latin America and the Caribbean (ROLAC),31,none|173,
,,HDX - Disaster Inventory,data series,HDX,7,none|174,
,,International Rescue Committee Ethiopia - IRC Ethiopia All Emergency Responses,data series,International Rescue Committee Ethiopia,18,none|175,
,,International Rescue Committee Ethiopia - Funded Emergency Responses,data series,International Rescue Committee Ethiopia,34,none|176,
,,United Nations Economic Commission for Africa - Population and migration indicators,data series,United Nations Economic Commission for Africa,19,none|179,
,,United Nations Economic Commission for Africa - Health indicators,data series,United Nations Economic Commission for Africa,19,none|180,
,,United Nations Economic Commission for Africa - Education indicators,data series,United Nations Economic Commission for Africa,18,none|181,
,,ITOS - Simplified Geojson,data series,ITOS,7,none|184,
,,Global Healthsites Mapping Project - Healthsites,data series,Global Healthsites Mapping Project,199,none|66,
,,OCHA Sudan - ICA Sudan,data series,OCHA Sudan,9,none|185,
,,,clean,Education in Emergencies Working Group Nigeria ,13,none|186,
,,WorldPop - Population Estimates by COD Administrative Unit,data series,WorldPop,14,none|188,
,,,clean,OCHA Regional Office for Southern and Eastern Africa (ROSEA),13,none|186,
,,UNDP Human Development Reports Office (HDRO) - Health and Economics Indicators,data series,UNDP Human Development Reports Office (HDRO),6,none|192,
,,HDX - Daily Summaries of Precipitation Indicators,data series,HDX,57,none|193,
,,OCHA Türkiye - Syria IDP flow data 2018,data series,OCHA Türkiye,9,none|190,
,,,excluded,WFP - World Food Programme,55,none|134,
,,,excluded,OCHA Regional Office for Asia and the Pacific (ROAP),55,none|134,
,,"United Nations Human Settlement Programmes, Global Urban Observatory - Demographic, Health, Education and Transport indicators",data series,"United Nations Human Settlement Programmes, Global Urban Observatory",167,none|197,
,,,excluded,OCHA Regional Office for Southern and Eastern Africa (ROSEA),55,none|134,
,,COD - Populated Places - Settlements,data series,OCHA Regional Office for Southern and Eastern Africa (ROSEA),25,none|77,
,,COD - Infrastructure,data series,OCHA Regional Office for Southern and Eastern Africa (ROSEA),28,none|200,
,,OCHA West and Central Africa (ROWCA) - Nutrition,data series,OCHA West and Central Africa (ROWCA),5,none|202,
,,COD - Infrastructure,data series,OCHA West and Central Africa (ROWCA),28,none|200,
,,COD - Hydrology,data series,OCHA West and Central Africa (ROWCA),21,none|205,
,,COD - Infrastructure,data series,OCHA Regional Office for Asia and the Pacific (ROAP),28,none|200,
,,COD - Hydrology,data series,OCHA Regional Office for Asia and the Pacific (ROAP),21,none|205,
,,COD - Elevation,data series,OCHA Regional Office for Asia and the Pacific (ROAP),10,none|146,
,,COD - Hydrology,data series,OCHA Regional Office for Asia and the Pacific (ROAP),21,none|205,
,,COD - Populated Places - Settlements,data series,OCHA Regional Office for Asia and the Pacific (ROAP),25,none|77,
,,OCHA Regional Office for Asia and the Pacific (ROAP) - Airports,data series,OCHA Regional Office for Asia and the Pacific (ROAP),5,none|211,
,,,excluded,OCHA Philippines,55,none|134,
,,,excluded,United Nations Satellite Centre (UNOSAT),55,none|134,
