ID,Data series name,Link
30,OCHA - Subnational Edge-matched Administrative Boundaries,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA - Subnational Edge-matched Administrative Boundaries
31,Globhe Drones - Post Tropical Storm Chalane Mapping,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Globhe Drones - Post Tropical Storm Chalane Mapping
32,Our Airports - Airports,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Our Airports - Airports
33,World Bank - Economic Social Environmental Health Education Development and Energy,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Economic Social Environmental Health Education Development and Energy
34,World Bank - Trade,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Trade
35,World Bank - Economic and Social development,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Economic and Social development
36,World Bank - Climate Change,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Climate Change
37,World Bank - Millenium development goals,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Millenium development goals
38,World Bank - Gender,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Gender
39,World Bank - Development,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Development
40,World Bank - Poverty,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Poverty
41,World Bank - Social Protection and Labor,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Social Protection and Labor
42,World Bank - Infrastructure,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Infrastructure
43,World Bank - Health,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Health
44,World Bank - Environment,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Environment
45,World Bank - Energy and Mining,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Energy and Mining
46,World Bank - Education,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Education
47,World Bank - Aid Effectiveness,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Aid Effectiveness
48,World Bank - Agriculture and Rural Development,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Bank - Agriculture and Rural Development
49,FEWS NET - Medium Term Projection IPC Classification Shapefile Data for 2011-2020,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Medium Term Projection IPC Classification Shapefile Data for 2011-2020
50,FEWS NET - Near Term Projection IPC Classification Shapefile Data for 2011 - 2020,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Near Term Projection IPC Classification Shapefile Data for 2011 - 2020
51,FEWS NET - Current Situation IPC Classification Shapefile Data for 2011-2020,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Current Situation IPC Classification Shapefile Data for 2011-2020
53,IATI - Current IATI aid activities,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IATI - Current IATI aid activities
54,Myanmar Information Management Unit - MIMU - Village Points,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Myanmar Information Management Unit - MIMU - Village Points
55,Myanmar Information Management Unit - MIMU - Boundaries,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Myanmar Information Management Unit - MIMU - Boundaries
57,OCHA Afghanistan - Conflict Induced Displacements 2016-2022,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA Afghanistan - Conflict Induced Displacements 2016-2022
58,IOM - DTM Baseline Assessment,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IOM - DTM Baseline Assessment
271,IOM - DTM Site and Location Assessment,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IOM - DTM Site and Location Assessment
272,IOM - DTM Event and Flow Tracking,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IOM - DTM Event and Flow Tracking
59,UNHCR - UNHCR Global Trends - Forced Displacement,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - UNHCR Global Trends - Forced Displacement
61,CLEAR Global - Languages,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=CLEAR Global - Languages
62,OCHA Afghanistan - Who does What Where,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA Afghanistan - Who does What Where
63,OCHA Nigeria - 3W,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA Nigeria - 3W
64,US Census Bureau - Subnational Population and Housing Data Tables,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=US Census Bureau - Subnational Population and Housing Data Tables
65,UNHCR - Data on forcibly displaced populations and stateless persons,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Data on forcibly displaced populations and stateless persons
66,Global Healthsites Mapping Project - Healthsites,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Global Healthsites Mapping Project - Healthsites
68,UNHCR - WASH KAP Survey,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - WASH KAP Survey
69,UNHCR  - Syrian Arab Republic Cash Interventions,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR  - Syrian Arab Republic Cash Interventions
70,UNHCR - Sudan - Durable Solutions Analysis Survey,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Sudan - Durable Solutions Analysis Survey
71,Kontur - Population Density for 400m H3 Hexagons,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Kontur - Population Density for 400m H3 Hexagons
73,UNOSAT - Wildfires,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNOSAT - Wildfires
75,IDMC - Internally displaced persons,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IDMC - Internally displaced persons
77,COD - Populated Places - Settlements,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=COD - Populated Places - Settlements
78,UNHCR - High Frequency Survey,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - High Frequency Survey
81,UNHCR - Afghanistan - Voluntary Repatriation,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Afghanistan - Voluntary Repatriation
82,Global health - Reported COVID-19 Cases,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Global health - Reported COVID-19 Cases
83,Kontur - Administrative Division with Aggregated Population,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Kontur - Administrative Division with Aggregated Population
84,UNHCR - SENS Survey,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - SENS Survey
85,GRID3 -  Settlement Extents,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=GRID3 -  Settlement Extents
90,UNOSAT - Volcanic Eruption Impact,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNOSAT - Volcanic Eruption Impact
91,GRID3 -  Gridded Population Estimated,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=GRID3 -  Gridded Population Estimated
93,UNHCR - Uganda - Post Distribution Monitoring of Non-Food Items,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Uganda - Post Distribution Monitoring of Non-Food Items
94,UNHCR - Intention to return survey,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Intention to return survey
95,UNHCR - Lebanon - Vulnerability Assessment of Syrian Refugees,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Lebanon - Vulnerability Assessment of Syrian Refugees
96,OSM - DRC Health Zones,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OSM - DRC Health Zones
97,geoBoundaries - Subnational Administrative Boundaries,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=geoBoundaries - Subnational Administrative Boundaries
99,WFP - Road Network,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Road Network
100,"WFP - Prevalence of Malnutrition, Stunting","https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Prevalence of Malnutrition, Stunting"
101,Oxford Poverty and Human Development Initiative - Global Multidimensional Poverty Index,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Oxford Poverty and Human Development Initiative - Global Multidimensional Poverty Index
104,WFP - Flood Risk,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Flood Risk
105,WHO - Climate Change Attributable Deaths,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WHO - Climate Change Attributable Deaths
108,INFORM Models,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=INFORM Models
109,Hub Latin America - Violence in Latin America,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Hub Latin America - Violence in Latin America
110,Hub Latin America - Crime in Chile and Ecuador,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Hub Latin America - Crime in Chile and Ecuador
111,Hub Latin America - Tourism and Migrations,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Hub Latin America - Tourism and Migrations
112,UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Post-Distribution Monitoring of Cash-Based Intervention
116,HERA - Africa - Covid-19,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HERA - Africa - Covid-19
117,OCHA Latin America and the Caribbean- Operational Presence 3W,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA Latin America and the Caribbean- Operational Presence 3W
120,Hub Latin America - Environment and Waste in Ecuador,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Hub Latin America - Environment and Waste in Ecuador
123,UNESCO - Education Indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNESCO - Education Indicators
124,UNHCR - Kenya - Socio-economic impact of COVID-19 on refugees,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Kenya - Socio-economic impact of COVID-19 on refugees
125,FAO - Food Security Indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FAO - Food Security Indicators
126,UNHCR - Socioeconomic assessment of Refugees,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Socioeconomic assessment of Refugees
127,Johns Hopkins Applied Physics Lab - Projected COVID-19 subnational cases,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Johns Hopkins Applied Physics Lab - Projected COVID-19 subnational cases
128,Fields Data - Operational Presence,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Fields Data - Operational Presence
130,UNHCR - Uganda Wash Surveys,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Uganda Wash Surveys
131,UNHCR - Jordan Home Visits Survey,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Jordan Home Visits Survey
132,UNHCR - Lebanon - Monitoring of the Effects of Economic Deterioration on Refugee Households,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Lebanon - Monitoring of the Effects of Economic Deterioration on Refugee Households
133,UNDP Human Development Reports Office - Human Development Indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNDP Human Development Reports Office - Human Development Indicators
136,Global Earthquake Model Foundation - Level 1 Exposure Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Global Earthquake Model Foundation - Level 1 Exposure Data
137,Urban Analysis Network Syria - Infrastructure assets,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Urban Analysis Network Syria - Infrastructure assets
139,UNHCR - Protection Monitoring,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Protection Monitoring
142,WorldPop - Population Density,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WorldPop - Population Density
143,World Pop - Population Counts,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=World Pop - Population Counts
144,WorldPop - Age and sex structures,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WorldPop - Age and sex structures
145,UNICEF Eastern and Southern Africa Regional Office - Humanitarian Update,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Eastern and Southern Africa Regional Office - Humanitarian Update
146,COD - Elevation,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=COD - Elevation
147,WFP - Food Security Indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Food Security Indicators
148,WorldPop - Pregnancies,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WorldPop - Pregnancies
149,WorldPop - Births,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WorldPop - Births
150,WFP - Food Insecurity,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Food Insecurity
151,WFP - Natural Shock,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Natural Shock
152,WFP - Land Degradation,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Land Degradation
153,WFP - Drought Risk,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Drought Risk
154,WFP - Landslide Risk,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Landslide Risk
155,WFP - ICA Categories and Areas,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - ICA Categories and Areas
157,WFP - Administration Boundaries,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Administration Boundaries
158,UNICEF Data and Analytics HQ - Global sanitation standards,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Global sanitation standards
159,UNICEF Data and Analytics HQ - Nutrition,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Nutrition
160,UNICEF Data and Analytics HQ - Children and Pregnancy,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Children and Pregnancy
161,UNICEF Data and Analytics HQ - Birth and Children mortality,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Birth and Children mortality
162,UNICEF Data and Analytics HQ - Child Health and Diarrhoea,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Child Health and Diarrhoea
163,UNICEF Data and Analytics HQ - Child Health and Vaccines,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Child Health and Vaccines
164,UNICEF Data and Analytics HQ - Sexual Behaviour and HIV,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Sexual Behaviour and HIV
165,UNICEF Data and Analytics HQ - Societal support for families and childcare,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Societal support for families and childcare
166,UNICEF Data and Analytics HQ - Population statistics,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Population statistics
168,The DHS Program - Subnational Health and Demographic Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=The DHS Program - Subnational Health and Demographic Data
171,WFP - Food availability,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Food availability
173,OCHA Latin America and the Caribbean - HOTOSM Schools,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA Latin America and the Caribbean - HOTOSM Schools
174,HDX - Disaster Inventory,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HDX - Disaster Inventory
175,IRC - Ethiopia All Emergency Responses,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IRC - Ethiopia All Emergency Responses
176,IRC - Ethiopia Funded Emergency Responses,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IRC - Ethiopia Funded Emergency Responses
179,United Nations Economic Commission for Africa - Population and migration indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=United Nations Economic Commission for Africa - Population and migration indicators
180,United Nations Economic Commission for Africa - Health indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=United Nations Economic Commission for Africa - Health indicators
181,United Nations Economic Commission for Africa - Education indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=United Nations Economic Commission for Africa - Education indicators
184,ITOS - Simplified Geojson,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=ITOS - Simplified Geojson
185,OCHA Sudan - ICA Sudan,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA Sudan - ICA Sudan
188,WorldPop - Population Estimates by COD Administrative Unit,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WorldPop - Population Estimates by COD Administrative Unit
190,OCHA Türkiye - Syria IDP flow data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA Türkiye - Syria IDP flow data
192,UNDP Human Development Reports Office - Health and Economics Indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNDP Human Development Reports Office - Health and Economics Indicators
193,HDX - Daily Summaries of Precipitation Indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HDX - Daily Summaries of Precipitation Indicators
195,Majidata - Kenya and Water,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Majidata - Kenya and Water
197,"United Nations Human Settlement Programmes, Global Urban Observatory - Demographic, Health, Education and Transport indicators","https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=United Nations Human Settlement Programmes, Global Urban Observatory - Demographic, Health, Education and Transport indicators"
200,COD - Infrastructure,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=COD - Infrastructure
202,OCHA West and Central Africa - Nutrition,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA West and Central Africa - Nutrition
205,COD - Hydrology,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=COD - Hydrology
220,UNHCR - Peru Flow Monintoring,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Peru Flow Monintoring
221,FEWS NET - Most Likely in 6 months Acutely Food Insecure Population Estimates Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Most Likely in 6 months Acutely Food Insecure Population Estimates Data
222,FEWS NET - Most Likely Acutely Food Insecure Population Estimates Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Most Likely Acutely Food Insecure Population Estimates Data
223,FEWS NET - Current Situation Acutely Food Insecure Population Estimates Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Current Situation Acutely Food Insecure Population Estimates Data
224,FEWS NET - Current Situation Acute Food Insecurity Classifications Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Current Situation Acute Food Insecurity Classifications Data
225,FEWS NET - Medium Term Projection Acute Food Insecurity Classifications Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Medium Term Projection Acute Food Insecurity Classifications Data
226,FEWS NET - Near Term Projection Acute Food Insecurity Classifications Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Near Term Projection Acute Food Insecurity Classifications Data
227,WFP - ICA Livelihood and Economic Activity Zones,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - ICA Livelihood and Economic Activity Zones
228,WFP - ICA Population and Settlements,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - ICA Population and Settlements
230,Work of InterAction Members,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Work of InterAction Members
231,Somalia - Water Price Monitoring,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Somalia - Water Price Monitoring
232,Redhum - Ecuador Earthquake 5W,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Redhum - Ecuador Earthquake 5W
233,UNDRR - Disaster loss and damage datasets,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNDRR - Disaster loss and damage datasets
234,Regional Cholera Platform in West and Central Africa - Cholera Outbreaks in Central and West Africa,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Regional Cholera Platform in West and Central Africa - Cholera Outbreaks in Central and West Africa
235,IFRC DCPRR Americas Team - Hurricane Matthew 4W,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IFRC DCPRR Americas Team - Hurricane Matthew 4W
236,OCHA Sudan - Sudan Nutrition and Feeding Centers,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA Sudan - Sudan Nutrition and Feeding Centers
237,UNDRR - GAR15 Global Exposure,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNDRR - GAR15 Global Exposure
239, Vanuatu NDMO - Consolidated Stocktake of Cyclone Pam Aid Supplies,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name= Vanuatu NDMO - Consolidated Stocktake of Cyclone Pam Aid Supplies
240,HDX - Food Insecurity Mapping,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HDX - Food Insecurity Mapping
241,Humanitarian Needs Overview,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Humanitarian Needs Overview
242,WFP - CHIRPS Dekadal Rainfall Indicators at Admin Level 2,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
243,WFP - MODIS Dekadal Vegetation Indicators at Admin Level 2,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - MODIS Dekadal Vegetation Indicators at Admin Level 2
244,exclude,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=exclude
245,exclude,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=exclude
246,exclude,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=exclude
247,Pacific Community -  Population Grids,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Pacific Community -  Population Grids
248,exclude,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=exclude
249,Pacific Community - Costal Proximity of Populations,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Pacific Community - Costal Proximity of Populations
250,UNHCR - Central African Republic - Protection Incidents Monitoring,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Central African Republic - Protection Incidents Monitoring
251,exclude,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=exclude
259,,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=
260,FEWS NET - Cross Border Trade Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FEWS NET - Cross Border Trade Data
261,Atlas AI - Turkey and Syria built up areas,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Atlas AI - Turkey and Syria built up areas
263,Hera - Subnational Covid Cases,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Hera - Subnational Covid Cases
267,UNICEF Data and Analytics HQ - Schooling attendance and completion rates,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics HQ - Schooling attendance and completion rates
268,UNICEF Data and Analytics (HQ) - Women and Marriage,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNICEF Data and Analytics (HQ) - Women and Marriage
270,Map Kibera - Kenya Water and Sanitation,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Map Kibera - Kenya Water and Sanitation
