Action,Notes,title,key,Org,count,Matches,Unmatched,Names,,,
Approved,,,,OCHA Latin America and the Caribbean (ROLAC),,13,6fb65c8a-4681-4c0d-b82e-83467bc497be,Anguilla - Subnational Population Statistics,,,
Approved,,,,OCHA Democratic Republic of the Congo (DRC),,13,d1160fa9-1d58-4f96-9df5-edbff2e80895,Democratic Republic of the Congo - Subnational Population Statistics,,,
Approved,,,,UNFPA,,13,e8db7923-6cd2-4974-ad57-14a157978cfd,Cameroon - Subnational Population Statistics,,,
Approved,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,13,fdf0606c-8a3b-421a-b3e8-903301e5b2ff,Bangladesh - Subnational Population Statistics,,,
Approved,,,,OCHA Burkina Faso,,13,a8e69c6c-16fc-4983-92ee-e04e8960b51f,Burkina Faso - Subnational Population Statistics,,,
Approved,,,,OCHA Afghanistan,,13,17acb541-9431-409a-80a8-50eda7e8ebab,Afghanistan - Subnational Population Statistics,,,
,,,,OCHA Yemen,,HNO,8196baf9-c8a0-4608-a5fb-d70cca3fda11,Yemen : Humanitarian Needs Overview,,,
Approved,,,,UNFPA,,13,a7c3de5e-ff27-4746-99cd-05f2ad9b1066,Nigeria - Subnational Population Statistics,,,
Approved,,,,UNFPA,,13,8520e386-9263-48c9-b1bf-b2349e019fbb|4acece15-fd70-455f-b1b7-c63cf0793352|5e60290d-0a82-48e2-9454-812b01c7d9d4,Colombia - Subnational Population Statistics,Zimbabwe - Subnational Population Statistics,Chad - Subnational Population Statistics,
,,,,OCHA Haiti,,HNO,780d9bc7-c2c9-4dd3-9458-887e35b44698,Haiti: Humanitarian Needs Overview,,,
,,,,OCHA Iraq,,HNO,1095c875-00e2-44ce-911f-7e9e285ecfc5,Iraq - Humanitarian Needs Overview,,,
,,,,OCHA Field Information Services Section (FISS),,none,977eaced-8dde-4d9c-ac7c-80f6d5df5db2,Ukraine - Subnational Gazetteer,,,
Approved,,,,Regional IM Working Group - Europe,,12,ac768a5c-db29-4872-9792-bd3179e29c45,Türkiye - Subnational Administrative Boundaries,,,
,,,,OCHA Afghanistan,,HNO,f06dad13-b38b-4659-ab9f-75c0d5152b33,Afghanistan: Humanitarian Needs Overview,,,
,,,,OCHA Democratic Republic of the Congo (DRC),,HNO,3eab7ed8-d4df-4ba7-8848-c5a0e121421d,Democratic Republic of the Congo: Humanitarian Needs Overview,,,
,,,,OCHA Democratic Republic of the Congo (DRC),,Health Zones,8e404195-37b1-43e2-8506-764037af6044,RDC - Statistiques des populations par zones de santé,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,12,a28f399f-482c-4e62-8dbf-d2c12381674a|569beba7-bad7-4951-a19d-468a035461cd,Kuwait - Subnational Administrative Boundaries,Lebanon - Subnational Administrative Boundaries,,
Approved,,,,OCHA Field Information Services Section (FISS),,12,26fa506b-0727-4d9d-a590-d2abee21ee22,Madagascar - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Office of the Pacific Islands,,12,723b5226-781a-4aee-9718-37e3fbddd886,Tonga - Subnational Administrative Boundaries,,,
,,,,Regional IM Working Group - Europe,,none,df46bb71-238c-4c04-98a6-f9f0333deac6,Turkey Refugee Camps,,,
Approved,,,,Regional IM Working Group - Europe,,205,76cc978a-0c03-479d-b6f0-60ae326616d3,Turkey Rivers,,,
Approved,,,,OCHA Niger,,77,5d17ed45-74a6-4417-9801-6935dcdc9c86,Niger - Settlements,,,
Approved,,,,OCHA West and Central Africa (ROWCA),,12,d8d992f3-5374-448f-a3d5-bed7c1925a11,Gabon - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Mali,,77,1542b2e2-ffd1-4835-bc6f-a9e6dcf7421d,Mali - Settlements,,,
Approved,,,,OCHA Mali,,200,f24cd828-1d81-427f-9f5a-c569f781b3a4,Mali: Bamako Roads Network,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,12,fd9fb749-5b68-4942-b5f9-115f20b5c00e,Libya - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Burkina Faso,,77,3a755454-a3c8-49ed-a30a-0cf2c658fd69,Burkina Faso: Settlements,,,
Approved,,,,OCHA Philippines,,12,caf116df-f984-4deb-85ca-41b349d3f313,Philippines - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Mali,,12,d2ec62bb-5a93-436d-8297-88b3ee9b6818,Mali - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Field Information Services Section (FISS),,77,04a2f6c1-ffba-49d3-91e8-9bf80068ac05|09ae7d6c-9ed4-4aa6-89ad-1297d8c4fe80|cc48a305-0a4d-4bd2-a603-1f866c45e3fa,Philippines administrative level 2 capital cities,Dominica populated places,Democratic Republic of the Congo - major cities,
Approved,,,,OCHA Ethiopia,,12,cb58fa1f-687d-4cac-81a7-655ab1efb2d0,Ethiopia - Subnational Administrative Boundaries,,,
Approved,,,,OCHA West and Central Africa (ROWCA),,13,b59b17f3-a3c7-45c0-a61d-539a01180494,Gambia - Subnational Population Statistics,,,
,,,,OpenStreetMap RDC,,Health Zones,edbd7a16-55e8-4288-8454-f682066af270,Zones de santé (RDC) / Health zones (DRC),,,
,,,,UNFPA,,none,43f7b2c0-16b1-4b5f-bd74-4c2178d8c971,Municipal Population Projections of Guatemala by Age and Sex 2015-2030,,,
Approved,,,,OCHA Iraq,,205,9f04c93c-6696-45ef-bc12-b747daa1b4a5,Iraq - Water Courses (Rivers and Streams),,,
Approved,,,,OCHA Iraq,,205,3506058f-565a-4ad3-8498-ac2e32dfe2ef,Iraq - Water Bodies (Lakes and Ponds),,,
Approved,,,,OCHA Iraq,,77,93170987-276d-4526-9e3d-c982759d8eba,"Iraq - Populated Places (Cities, Villages, Towns)",,,
Approved,,,,OCHA West and Central Africa (ROWCA),,12,c188d79c-fc74-44dd-aa46-adebb6b340d5,Sahel - Subnational Administrative Boundaries,,,
Approved,,,,OCHA occupied Palestinian territory (oPt),,205,f39a738d-9393-45bd-8e58-a0eca04f5470,State of Palestine - Hydrography,,,
Approved,,,,OCHA Latin America and the Caribbean (ROLAC),,12,70ca85b0-336a-407e-b9e5-f32a7e4840d0|50ea7fee-f9af-45a7-8a52-abb9c790a0b6|ab3c7592-3b0c-41cd-999a-2919a6b243f2,Chile - Subnational Administrative Boundaries,Colombia - Subnational Administrative Boundaries,Ecuador - Subnational Administrative Boundaries,
,,,,OCHA Philippines,,none,841c1c45-1a12-43a3-b5a9-8aaefd9afc57,Philippines 2015 Census Population by Admin4(Barangay),,,
,,,,OpenStreetMap RDC,,none,c9cfe96c-bd95-484a-b950-53cef508011e,Limites de la RDC et de 20 pays avoisinants / DRC and neighbouring countries,,,
Approved,,,,OCHA Office of the Pacific Islands,,12,67887590-51b0-4d98-bc12-666ebedf7704|156a0966-1e09-455c-9e4f-e68676aa2fbf,Vanuatu - Subnational Administrative Boundaries,Kiribati - Subnational Administrative Boundaries,,
Approved,,,,OCHA Somalia,,12,ec140a63-5330-4376-a3df-c7ebf73cfc3c,Somalia - Subnational Administrative Boundaries,,,
Approved,,,,OCHA ROCCA (Closed),,12,66f56d39-3f19-4798-a0df-a0ed9a4836ea|afb05759-c3da-44f4-93a1-6bd2d8bcd431,Uzbekistan - Subnational Administrative Boundaries,Kazakhstan - Subnational Administrative Boundaries,,
Approved,,,,OCHA Niger,,12,c0e0998c-b45a-4aea-ac06-c1de1d94e596,Niger - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Chad,,12,f01c8222-b67d-41ff-954a-731aafd4466b,Chad - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Field Information Services Section (FISS),,77,7bc1fe9c-6ad1-4149-bfd0-ecd9df4dcaae,Haiti settlements,,,
Approved,,,,OCHA Haiti,,12,777e8b06-337f-4295-80bc-ca1515244215,Haiti - Subnational Administrative Boundaries,,,
Approved,,,,OCHA occupied Palestinian territory (oPt),,12,2caf8373-816f-458c-9913-71bddb9cab7c,State of Palestine - Subnational Administrative Boundaries,,,
,,,,OCHA Libya,,none,13ed8024-60fa-455b-9872-e5dda46ee41b,Libya point Mantika,,,
Approved,,,,OCHA Ethiopia,,77,4f158439-f0e0-4bbb-a620-9897facf24a6,"Ethiopia - Cities, towns and villages",,,
Approved,,,,UNFPA,,12,e656842e-9643-4ef7-97f9-18c33654022d,Kiribati - Subnational Population Statistics,,,
Approved,,,,UNFPA,,12,538a4523-8d2f-4875-b2c6-e7ba2b85fcd8,Ecuador - Subnational Population Statistics,,,
,,,,OCHA Sudan,,HNO,92134b91-578b-4f0e-90ef-9d63170e9ead,Sudan: 2021 HNO Baseline Data,,,
Approved,,,,Regional IM Working Group - Europe,,77,f7198a6e-a864-423a-ab13-68712031749a,Settlements in Turkey (Admin 3-4),,,
Approved,,,,OCHA Latin America and the Caribbean (ROLAC),,12,9721eaf0-5663-4137-b3a2-c21dc8fac15a,Mexico - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Burkina Faso,,12,2940ed80-4b69-4b98-abaf-af79088852c5,Burkina Faso - Subnational Administrative Boundaries,,,
Approved,,,,UNFPA,,13,26801642-7088-4149-9605-6ae282897937,Kenya - Subnational Population Statistics,,,
Approved,,,,OCHA ROSA (Closed),,12,451bdd28-d06d-46ea-91c0-2e081f884395,United Republic of Tanzania - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,12,ab6e70bd-3cab-4a68-9a02-04ecd3df6b46,Western Sahara - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Chad,,200,cd236944-7f7d-4816-9828-4deb3d4084ea,Chad - Aerodromes,,,
Approved,,,,OCHA Venezuela,,12,5b141d29-534f-4f01-a0bc-41e2f375d925,Venezuela (Bolivarian Republic of) - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Yemen,,12,6b2656e2-b915-4671-bfed-468d5edcd80a,Yemen - Subnational Administrative Boundaries,,,
Approved,,,,OCHA ROCCA (Closed),,12,693aca77-1252-4404-9045-785e43bb6846|ecb2cb09-1270-4a7f-9187-f093efebdef7|3ee95199-2dfe-40fc-b9bd-b44cc8c91024,Kyrgyzstan - Subnational Administrative Boundaries,Azerbaijan - Subnational Administrative Boundaries,Georgia - Subnational Administrative Boundaries,
Approved,,,,OCHA Iraq,,12,488bb3cd-3ce9-49d3-862a-3ce7975c63e1,Iraq - Subnational Administrative Boundaries,,,
,,,,OCHA Philippines,,none,f26a0a04-0549-4139-af91-81dfa6e56082,Philippines: Pre-Disaster Indicators,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,12,3d17274d-0812-4b21-b87a-4854af4eb244,Algeria - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,12,7fb8f891-35f2-4bd5-8c75-5e7797ff1731|247b4026-79ff-4b16-95b9-0f366792d2cc,Morocco - Subnational Administrative Boundaries,Iran (Islamic Republic of) - Subnational Administrative Boundaries,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,12,b90d81ba-7c7a-4283-9899-827480d80a79,Egypt - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Central African Republic,,12,78d80f16-b9ff-49cd-8195-d96efcf3b669,Central African Republic - Subnational Administrative Boundaries,,,
,,,,OCHA Lebanon,,none,cb7c8fe8-579f-4e0c-b840-eb6a09fd6ee7|3f3475b7-5a97-42e7-81c9-27f8fbab0564|1ebf72a6-a8fe-4951-8d32-5c7f5dea0e74,Beirut port explosion operational zones,Beirut buildings footprints,UNHABITAT Socio-economic Classification of Affected Zones,
,,,,OCHA Field Information Services Section (FISS),,none,febfb0dc-fad6-4320-ac57-142b97053ef4,Global Humanitarian Response Plan COVID-19 Administrative Boundaries and Population Statistics,,,
Approved,,,,OCHA ROCCA (Closed),,12,37b89555-ef3e-4b26-a1ba-070318016853,Armenia - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Field Information Services Section (FISS),,12,4f06337c-24cb-4703-8bd9-f2e18913a9cf,Bermuda - Subnational Administrative Boundaries,,,
,,,,OCHA Burundi,,Health Zones,c20c52bb-29b4-4a20-a588-a0cf0409cb9c,Burundi - Health District Boundaries,,,
Approved,,,,OCHA Nigeria,,12,81ac1d38-f603-4a98-804d-325c658599a3,Nigeria - Subnational Administrative Boundaries,,,
,,,,OCHA Burkina Faso,,Health Zones,2cf04f4b-086c-4ba8-85c8-e7ffe6915cb0,Burkina Faso health districts (districts de santé),,,
Approved,,,,OCHA Chad,,77,56cb93ae-ce4e-4a94-abf1-451cba31f9c0,Chad - Villages,,,
Approved,,,,OCHA Iraq,,200,90d4b668-29b8-497a-9476-26d692bf1190,Iraq - Roads Network,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,146,0b5c2858-5f89-4fe4-bffb-fc1730f635aa|6134172d-e5f5-4bf2-bb69-8b739966dd69,Morocco - Elevation Model,Libya - Elevation Model,,
Approved,,,,OCHA Field Information Services Section (FISS),,200,d9878bae-e7c1-430a-9175-22b77565af11,Puerto Rico - Roads,,,
,,,,ITOS,,none,ddadcacd-3329-426d-ba36-6e0bff80e883,COD Admin 0 geojson simplified geometries from gistmaps live service source,,,
Approved,,,,OCHA Democratic Republic of the Congo (DRC),,12,f42132b9-8cc6-4201-b020-9259c56e8868,Democratic Republic of the Congo - Subnational Administrative Boundaries,,,
,,,,OCHA occupied Palestinian territory (oPt),,none,b8d45c0f-15e6-43ba-af44-e61b3001059e,State of Palestine - Crossing Points,,,
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,9f3896ae-d77b-414a-85ef-8ede33389ed0,2018 Malawi Traditional Authority,,,
Approved,,,,OCHA occupied Palestinian territory (oPt),,77,c7e2f4b3-6a74-4b98-b064-1e9c2d066242,State of Palestine - Palestinian Communities in the West Bank and the Gaza Strip,,,
Approved,,,,Myanmar Information Management Unit (MIMU),,200,6c283407-21bc-4e9e-88ab-ef50a115f371,Myanmar - Transportation network,,,
Approved,,,,OCHA Office of the Pacific Islands,,12,dc71c13f-e848-4ddc-9074-17e608464b63,Micronesia (Federated States of) - Subnational Administrative Boundaries,,,
Approved,,,,OCHA South Sudan,,77,65060068-8bdb-43a2-9e82-b1d5dedca0c9,South Sudan - Settlement Data,,,
Approved,,,,OCHA Cameroon,,12,b13f08ef-92ee-4446-9b0a-e219f5c25415,Cameroon - Subnational Administrative Boundaries,,,
Approved,,,,Myanmar Information Management Unit (MIMU),,200,a3d9f46b-11e3-4856-86d2-0790a4bcac69,Myanmar Sea Port,,,
Approved,,,,OCHA Pakistan,,77,bdefc15c-66d4-457b-8eb4-4f2af6003ea7,Pakistan- Settlement,,,
Approved,,,,OCHA Liberia,,200,ee904c54-a82a-41f5-9bef-bbd6dc72c874|4504b20c-734b-4bc3-ba17-eb03a04d6377,Liberia - Roads,Liberia - Railways,,
Approved,,,,OCHA Liberia,,205,8ec032cd-fc72-47b6-9662-35d0c5ea772a,Liberia - Lakes,,,
Approved,,,,OCHA Liberia,,200,b27f9b36-91db-4efb-9d60-02a8c23b7d09,Liberia - Aerodromes,,,
Approved,,,,OCHA Ethiopia,,146,afcf2557-61b4-4589-8092-b32993c4b3fe,Ethiopia - Elevation Model,,,
Approved,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,205,0535f2f4-1612-49bc-835c-7d4f10c812a1|9b7cb749-e054-4318-8450-6c97d387706d,Rwanda - Water Bodies (Lakes),Kenya - Water Bodies (Lakes),,
Approved,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,205,b6b7401b-aeea-4cfa-b34b-0470c7e7ee12|adf5f7fb-4914-4295-9325-cc252748037c,Kenya - Rivers,Djibouti - Water Courses,,
Approved,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,200,b2296909-6236-4ac0-b234-e1723a9c722a,Djibouti - Aerodromes,,,
Approved,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,146,896fa20c-0111-464e-9bbc-63117a8d9419,"Djibouti - Contour Lines, Spot Heights",,,
Approved,,,,OCHA Nigeria,,205,741c6f20-6956-420d-aae4-37015cdd1ad4,Nigeria - Water Courses(Rivers),,,
,,,,OCHA West and Central Africa (ROWCA),,No,6d496f1d-b0f9-4954-b40f-242766e3343b,Burkina Faso - Health,,,
Approved,,,,OCHA West and Central Africa (ROWCA),,200,15b6469d-cee5-47bd-99d4-9a92da890bb2,Guinea-Bissau - Roads,,,
,,,,OCHA West and Central Africa (ROWCA),,none,cce71e24-303c-4183-b399-1e9ff95631d6,Mauritania - Floods Damage Assessments,,,
,,,,OCHA West and Central Africa (ROWCA),,none,a332a884-6f00-478b-8aaf-6c058b84ce60,Senegal - Schools,,,
Approved,,,,OCHA Mali,,205,ab5d5ce8-624f-43db-8be0-c876e9a89448|6498af61-5dc7-4fe2-891e-e8bec56b546d,"Mali - Main, secondary rivers and water bodies",Mali - Water Courses,,
Approved,,,,OCHA Mali,,200,0df54fd0-ff05-4e4b-9e74-a93684e74548,Mali - Railways,,,
Approved,,,,OCHA Mali,,146,09581aac-289c-455f-92c4-83232e406346,Mali - Elevation Model,,,
,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,none,081557ff-3cb9-4ee1-a018-d7f88d36d44c,Cambodia - Population density,,,
Approved,,,,OCHA ROSA (Closed),,77,57202386-65f8-426f-8f51-be10c9f7c6ae,Madagascar - Populated Places,,,
Approved,,,,OCHA ROSA (Closed),,146,89b6ca78-8a4a-4781-9dff-2749a45dd62c|9948307c-73c0-4b48-b036-5b5372f6a71e|de81e57f-61dc-43e1-8d64-e4e77e26001d,Madagascar - Elevation Model,Zimbabwe - Elevation Model,Namibia - Contour Lines,
Approved,,,,OCHA Niger,,146,0d10de07-48b5-429f-bfe8-f44d4d9fb6ff,Niger - Elevation Model,,,
Approved,,,,OCHA Niger,,200,a388fd5d-0dbd-4d05-b047-7f5db50838dc,Niger - Roads,,,
Approved,,,,OCHA West and Central Africa (ROWCA),,205,d10954f7-c9a4-4192-b7c9-17d6e8581bda,Côte d'Ivoire - Water Bodies,,,
Approved,,,,OCHA Latin America and the Caribbean (ROLAC),,200,1f9145fb-1266-4c4d-bff1-770c10248074|bd28f2df-daff-431d-9ca4-a170a172178f|70defa57-a007-4b31-8393-9a7e52cf2c02,Bolivia - Railways,Bolivia - Secondary Roads,Bolivia - Main Roads,
Approved,,,,OCHA Latin America and the Caribbean (ROLAC),,200,cf2d9e3b-cc49-415c-87cf-f0d5b177d5c6,Bolivia - Aerodromes,,,
Approved,,,,OCHA Latin America and the Caribbean (ROLAC),,77,5d87529c-d98c-47db-83df-348a0acbc62c,Honduras - Settlements,,,
Approved,,,,OCHA Pakistan,,77,f3895383-67ed-4a5d-beaa-b780d643c5df,Pakistan - Population of Major Cities,,,
Approved,,,,OCHA Yemen,,200,0b6b8716-05cb-4f97-a49a-487b5e0b339e,Yemen - Roads,,,
Approved,,,,OCHA Yemen,,200,a6227901-6471-4b04-9aa7-0764e0291ab4,Yemen - Ports,,,
Approved,,,,OCHA Yemen,,205,1afea059-7c2f-4b02-994d-968ef3b05af6,Yemen - Water Courses,,,
Approved,,,,OCHA Syria,,205,82571dcd-058b-4c85-9238-476aa6c4759d,Syrian Arab Republic - Water Bodies,,,
,,,,OCHA Middle East and North Africa (ROMENA),,none,c13351f6-3624-42ed-9d6b-93a375d76296,Tunisia - Estimated Population Statistics per delegation,,,
Approved,,,,OCHA Lebanon,,77,280b11bd-d097-48e0-9c89-fdd09fb09dd0,"Lebanon - Settlements (villages, towns, cities)",,,
Approved,,,,OCHA Central African Republic,,146,cbf56dfe-3037-4f9a-b7ac-cc008704485b,Central African Republic - Elevation Model,,,
Approved,,,,OCHA Central African Republic,,77,27db004a-4f10-4046-a561-c0b0aea98ef0,Central African Republic - Villages and Towns with administrative classification of Central African Republic,,,
Approved,,,,OCHA Central African Republic,,205,b6faede4-74d9-45d0-b76e-1f3c4f4b6871,Central African Republic - Water Bodies- Rivers ( Landsat satellite images (2002-2003),,,
Approved,,,,OCHA Nigeria,,200,82eb9181-a1ab-4c6c-8a9c-e922cc0dfcff,Nigeria - Roads,,,
Approved,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,200,666b5367-bfac-4447-a8e8-dc86a85349f3,Bangladesh - Railroads,,,
Approved,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,200,2c29f508-b78b-4d84-98f6-04d78219f1cf,Bangladesh - Roads,,,
Approved,,,,OCHA Democratic Republic of the Congo (DRC),,205,ed5dc64f-c229-4c03-9672-6d0d9b82e59c,DR Congo - Hydrology,,,
Approved,,,,OCHA Sudan,,77,ee3543b0-b8f8-474b-a6f6-11b6b6817999,Sudan - Settlements,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,200,90fd1750-39bb-4365-b172-58cb2c38296e,Libya - Transportation Network,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,205,3af7fdc1-0a39-43ac-8daa-3242fa3070f7,Libya - River Network,,,
Approved,,,,OCHA Central African Republic,,200,b0df7aaf-ab49-4b6b-b9e3-d5f3a4941eeb,Central African Republic - Roads Network,,,
Approved,,,,OCHA Haiti,,200,f5ba4f22-014e-400d-98d8-92bc6069d5d7,Haiti - Ports,,,
Approved,,,,OCHA Haiti,,205,c40db200-027f-4d6c-8116-00798c7c97a1,Haiti - Lakes,,,
Approved,,,,OCHA Haiti,,205,96e10180-8bd7-441a-aecb-dc356b25cafe,Haiti - Rivers,,,
Approved,,,,OCHA Sudan,,200,442c76db-9ece-400a-b7cd-9b9dc4cf9d39,Sudan - Airfields,,,
Approved,,,,OCHA Sudan,,200,9c33b088-0ede-4266-a19f-b98fb1c3fea3,Sudan - Roads,,,
