UN Peace and Security Data Hub - Peace and Security Data,
72321dc6-e4da-4ac8-b15a-56b1a7bb2be2,Peace and Security Pillar: Peacebuilding Fund - Projects
e1e7e91f-3810-4e6e-a32c-ff881a4b71af,Peace and Security Pillar: Peacebuilding Fund - PBF Priorities
4e234bf5-68a1-49dd-a24a-8cf646d444c5,Peace and Security Pillar: Peacebuilding Fund - Outcomes
5a604940-9ef9-4f5d-8684-9de14df6fbf8,Peace and Security Pillar: DPPA Multi-Year Appeal (MYA): Donor contributions
e1359008-7eb1-478d-be21-995866997fe6,Peace and Security Pillar: Inclusion of Gender Provisions in UN-mediated Peace Agreements
634a7f99-2e8e-45a8-b4d6-4b5451c7becb,Peace and Security Pillar: Gender Expertise in Special Political Missions
70e5c9fa-d844-4f0e-9ac7-a2afc4fea4e0,Peace and Security Pillar: Quick Impact Projects
73d5c283-df49-4c1c-84c2-0753edc2fd12,Peace and Security Pillar: UN Peacekeeping Training Gender Aggregated Data
d0eab416-ed0f-41f3-8cf6-215af1da5591,Peace and Security Pillar: Annual expenditure for peacekeeping missions
0f9e2923-847e-45f1-bfc2-5d9f75dc8f3e,Peace and Security Pillar: Annual budgets for peacekeeping missions
1349e646-4dba-44b5-9854-6dc3874ce03f,Peace and Security Pillar: Peacekeeping Mandates (PEMA) Dataset
f65c6acb-a025-4d16-839a-d7613c2c8dc8,Peace and Security Pillar: Other revenue and adjustments for peacekeeping missions
c1212b76-4702-4e97-8298-5f8a1565d853,Peace and Security Pillar: Mission factors for expenditure for contingent owned equipment for peacekeeping missions
0db02c47-4e16-49d3-8c0b-d41f1006ecff,Peace and Security Pillar: Expenditure for contingent owned equipment: major equipment and self sustainment
c68ad622-0c19-4752-b1af-e453aa494040,Peace and Security Pillar: Online Repository of C-34 Recommendations
63ddbde6-f38c-454e-beeb-73e05cc421d0,Peace and Security Pillar: Monthly Mission Air Assets
2f2f2e7b-03f2-4da0-a848-496ebd07aa83,Peace and Security Pillar: Presidential Statements of the Security Council
