Data series name,Data set 
IRC - Ethiopia Funded Emergency Responses,IRC Ethiopia OFDA Funded RRM Emergency Responses 31 July 2020 Update by Sectors & IPs
IRC - Ethiopia Funded Emergency Responses,IRC Ethiopia OFDA & ECHO Funded Emergency Responses 31 August 2018 Update-by Sectors & IPs
IRC - Ethiopia Funded Emergency Responses,IRC Ethiopia ECHO Funded ERM VII Ongoing Emergency Responses 30 April 2019 Update by Sectors & IPs
IRC - Ethiopia Funded Emergency Responses,IRC Ethiopia ECHO Funded ERM VII Interventions 31 July 2020 Updates
ITOS - Simplified Geojson,COD Admin 0 geojson simplified geometries from gistmaps live service source
Johns Hopkins Applied Physics Lab - Projected COVID-19 subnational cases,Iraq: Projected COVID-19 Sub-national Cases
OCHA Afghanistan - Who does What Where,Afghanistan Who does What Where - July to September 2015
OCHA Afghanistan - Who does What Where,Afghanistan - Who does What Where (July to September 2019)
OCHA Afghanistan - Who does What Where,Afghanistan - Who does What Where (April to June 2017)
OCHA Latin America and the Caribbean- Operational Presence 3W,Caribbean Hurricanes: Regional Who is Doing What Where (3W)
OCHA Nigeria - 3W,Nigeria: Who is Doing What Where (3Ws)
OCHA Nigeria - 3W,Nigeria: Northeast Nigeria 3Ws (January-December 2021)
OCHA Nigeria - 3W,Nigeria: Northeast Nigeria 3Ws
